Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2023-05-24T21:30:00+02:00;PT15M;Onshore;Flanders;Dso;180.75;233.3;177.4;308.9;206.0;146.4;300.0;205.5;124.8;255.3;38.8;9.0;96.2;1353.86;0.13;''
2023-05-24T21:45:00+02:00;PT15M;Onshore;Flanders;Dso;183.03;236.0;179.2;311.5;209.3;157.2;313.8;209.5;134.5;263.3;37.3;7.2;95.1;1353.86;0.14;''
2023-05-24T22:00:00+02:00;PT15M;Onshore;Flanders;Dso;192.4;211.2;167.8;266.2;215.7;166.5;328.0;216.0;145.2;273.9;36.1;5.9;93.6;1353.86;0.14;''
2023-05-24T22:15:00+02:00;PT15M;Onshore;Flanders;Dso;199.49;211.4;158.3;281.1;220.1;172.4;331.8;220.4;147.1;281.9;34.7;5.0;91.5;1353.86;0.15;''
2023-05-24T22:30:00+02:00;PT15M;Onshore;Flanders;Dso;207.22;213.1;156.7;284.8;220.9;171.3;329.8;221.7;146.9;289.1;33.4;3.9;89.3;1353.86;0.15;''
2023-05-24T22:45:00+02:00;PT15M;Onshore;Flanders;Dso;213.16;215.8;156.4;286.5;220.2;166.9;327.3;220.4;144.3;293.3;31.5;3.3;85.9;1353.86;0.16;''
2023-05-24T23:00:00+02:00;PT15M;Onshore;Flanders;Dso;205.64;212.8;169.4;266.0;220.4;164.7;323.6;219.6;140.2;289.8;28.1;1.7;83.4;1353.86;0.15;''
2023-05-24T23:15:00+02:00;PT15M;Onshore;Flanders;Dso;219.09;213.1;159.4;281.2;217.1;160.3;320.4;217.0;137.9;284.4;26.9;1.0;81.6;1353.86;0.16;''
2023-05-24T23:30:00+02:00;PT15M;Onshore;Flanders;Dso;231.2;213.6;158.8;284.3;215.9;155.2;316.1;218.5;137.0;279.9;25.2;0.7;81.2;1353.86;0.17;''
2023-05-24T23:45:00+02:00;PT15M;Onshore;Flanders;Dso;244.74;214.2;157.9;285.8;212.5;146.8;311.7;217.3;136.3;277.0;24.3;0.7;80.8;1353.86;0.18;''
2023-05-25T00:00:00+02:00;PT15M;Onshore;Flanders;Dso;260.52;214.5;173.5;268.5;229.5;156.2;325.2;230.3;124.2;277.0;6.6;0.7;68.8;1353.86;0.19;''
2023-05-25T00:15:00+02:00;PT15M;Onshore;Flanders;Dso;253.58;215.2;161.8;283.4;226.3;151.3;321.7;226.8;111.3;272.4;6.9;0.7;66.7;1353.86;0.19;''
2023-05-25T00:30:00+02:00;PT15M;Onshore;Flanders;Dso;251.22;215.9;160.3;286.7;224.1;148.4;321.9;225.4;96.1;270.1;6.9;0.7;65.9;1353.86;0.19;''
2023-05-25T00:45:00+02:00;PT15M;Onshore;Flanders;Dso;261.9;216.8;160.5;286.2;223.0;144.6;322.3;223.9;83.6;270.9;7.4;1.0;63.5;1353.86;0.19;''
2023-05-25T01:00:00+02:00;PT15M;Onshore;Flanders;Dso;269.28;220.6;179.4;276.6;223.9;145.8;324.5;224.9;76.4;269.4;53.2;17.3;103.4;1353.86;0.2;''
2023-05-25T01:15:00+02:00;PT15M;Onshore;Flanders;Dso;273.67;219.0;167.8;289.5;223.7;147.3;327.4;225.1;69.0;268.5;51.3;16.8;101.7;1353.86;0.2;''
2023-05-25T01:30:00+02:00;PT15M;Onshore;Flanders;Dso;277.18;218.6;164.6;291.0;223.3;149.0;327.0;224.6;64.3;264.4;50.0;16.5;101.1;1353.86;0.2;''
2023-05-25T01:45:00+02:00;PT15M;Onshore;Flanders;Dso;276.18;218.8;163.3;291.7;222.6;152.6;328.5;224.5;63.5;264.1;48.5;16.4;101.9;1353.86;0.2;''
